BASIN,FLOWS_TO,MAINSTEM
R_01,R_04_M,N
R_02,R_02_M,N
R_02_M,R_03_M,Y
R_03,R_03_M,N
R_03_M,R_04_M,Y
R_04,R_04_M,N
R_04_M,R_05_M,Y
R_05,R_05_M,N
R_05_M,R_06_M,Y
R_06,R_06_M,N
R_06_M,R_09_M,Y
R_07,R_08,N
R_08,R_09_M,N
R_09,R_09_M,N
R_09_M,R_10_M,Y
R_10,R_10_M,N
R_10_M,R_12_M,Y
R_11,R_12_M,N
R_12,R_12_M,N
R_12_M,R_13_M,Y
R_13,R_13_M,N
R_13_M,R_13_M,Y
R_14,R_14_M,N
R_14_M,R_15_M,Y
R_15,R_15_M,N
R_15_M,R_16_M,Y
R_16,R_16_M,N
R_16_M,R_17_M,Y
R_17,R_17_M,N
R_17_M,R_18_M,Y
R_18,R_18_M,N
R_18_M,R_19_M,Y
R_19,R_19_M,N
R_19_M,R_21_M,Y
R_20,R_21_M,N
R_21,R_21_M,N
R_21_M,R_21_M,Y
R_22,R_14_M,N
R_23,R_24_M,N
R_24,R_24_M,N
R_24_M,R_18_M,Y
R_25,R_24_M,N
R_26,R_25,N
R_27,R_26,N
R_28,R_25,N
